Latitudine,Longitudine
39.4444647,-0.327552
39.4444171,-0.3274769
39.4443643,-0.327379
39.4443166,-0.3272999
39.4442607,-0.3272114
39.4442105,-0.3271339
39.4441487,-0.3270276
39.4441054,-0.3269458
39.4440502,-0.326858
39.4440171,-0.3267822
39.4439847,-0.3267182
39.4301483,-0.3222838
39.4300945,-0.322096
39.4439529,-0.3266441
39.4300323,-0.3218922
39.4299619,-0.3216883
39.4439273,-0.3265761
39.4298956,-0.3214845
39.4438978,-0.3264781
39.4298334,-0.3213343
39.4438881,-0.3263755
39.4298086,-0.3211572
39.4297298,-0.3209963
39.4296801,-0.3208032
39.4438755,-0.3262619
39.4296263,-0.3206369
39.443868,-0.3261613
39.4295765,-0.320492
39.4295102,-0.3203204
39.4438755,-0.3260452
39.4294771,-0.3201434
39.4438859,-0.3259574
39.4294025,-0.3199878
39.4293528,-0.3198322
39.4439156,-0.3258622
39.4292906,-0.3196123
39.4439539,-0.3258019
39.4292326,-0.3194406
39.4439988,-0.3257476
39.4440484,-0.3257104
39.4291865,-0.3192682
39.4441062,-0.3256838
39.4441714,-0.3256624
39.4291243,-0.3190911
39.4442522,-0.3256718
39.429,-0.3191394
39.4443371,-0.3256812
39.4289171,-0.3192199
39.4444304,-0.3256879
39.4445194,-0.3256946
39.428855,-0.3192413
39.4445981,-0.3256999
39.4287348,-0.3192896
39.4446758,-0.3257214
39.4286229,-0.3193325
39.4447659,-0.3257375
39.4448446,-0.3257536
39.4285235,-0.3194184
39.4449244,-0.3257724
39.4284241,-0.319472
39.4450145,-0.3257925
39.428308,-0.3195149
39.4451056,-0.3258139
39.4281879,-0.3196007
39.4451853,-0.3258233
39.4280801,-0.3196383
39.4452744,-0.3258367
39.4280014,-0.3196973
39.4453479,-0.3258475
39.4279268,-0.3197188
39.4454287,-0.3258649
39.4455147,-0.3258796
39.4278274,-0.3197939
39.4455923,-0.3259078
39.4277611,-0.3198207
39.4276865,-0.319869
39.4456638,-0.3259574
39.4457311,-0.3260003
39.445816,-0.3260138
39.4276175,-0.3199012
39.4458906,-0.3260231
39.4459766,-0.3260325
39.4460656,-0.3260325
39.4461451,-0.3260158
39.4462251,-0.3260272
39.4463007,-0.3260594
39.4276194,-0.3198096
39.4463499,-0.3261184
39.4463885,-0.3262112
39.4463957,-0.3263112
39.4275904,-0.3196647
39.4275365,-0.3195145
39.4463729,-0.32639
39.4274827,-0.319375
39.4274454,-0.3192677
39.4274039,-0.319139
39.4273583,-0.3189942
39.4273169,-0.3188493
39.4272755,-0.3187098
39.4272133,-0.3185704
39.427176,-0.3184363
39.4271429,-0.3183129
39.4270849,-0.3181841
39.42706,-0.3180554
39.427002,-0.3179213
39.426973,-0.3177711
39.4269233,-0.3176316
39.4268652,-0.3174707
39.4268238,-0.3173312
39.4267782,-0.3171971
39.4267244,-0.3170362
39.4266664,-0.3168591
39.4266125,-0.3167036
39.4265213,-0.3167425
39.4264302,-0.3168001
39.4463276,-0.3264709
39.4263256,-0.316839
39.4262063,-0.3169697
39.4261358,-0.3170341
39.4260778,-0.3171199
39.4259908,-0.3172004
39.4259204,-0.3171896
39.4258458,-0.3171628
39.4257754,-0.3170722
39.4257712,-0.3169643
39.4257339,-0.3168624
39.4256883,-0.3167658
39.4256552,-0.3166961
39.4256179,-0.3166103
39.4462686,-0.326542
39.4255764,-0.3165459
39.4255433,-0.3164332
39.4462013,-0.3266225
39.4255101,-0.3163152
39.4254645,-0.316224
39.44614,-0.3266959
39.4254314,-0.3160953
39.4253941,-0.3160041
39.4460675,-0.3267724
39.4253568,-0.3158807
39.4253029,-0.3157627
39.4460023,-0.3268327
39.4252739,-0.3156286
39.4252325,-0.3155159
39.4459515,-0.3268864
39.4251869,-0.315414
39.4459039,-0.3269246
39.4251538,-0.3152799
